tag,Patterns__001,patterns__002,patterns__003,patterns__004,patterns__005,patterns__006,patterns__007,patterns__008,patterns__009,patterns__010,patterns__011,patterns__012,patterns__013,patterns__014,patterns__015,patterns__016,patterns__017,patterns,responses__001,responses__002,responses__003
greeting,Hi,Hiii,Hey,How are you,Is anyone there?,Hello,Good day,,,,,,,,,,,"Hi, Hiii, Hey, How are you, Is anyone there?, Hello, Good day, , , , , , , , , , ","Hi there, what can I do for you?","Hi there, how can I help?",
goodbye,Bye,See you later,Goodbye,,,,,,,,,,,,,,,"Bye, See you later, Goodbye, , , , , , , , , , , , , , ",Have a nice day,Bye!,
thanks,Thanks,Thank you,That's helpful,Thank's a lot!,,,,,,,,,,,,,,"Thanks, Thank you, That's helpful, Thank's a lot!, , , , , , , , , , , , , ",Happy to help!,Any time!,My pleasure
department,What are the department available in the college,List the departments available,course,branches available,departments,department,courses available,courses offered,,,,,,,,,,"What are the department available in the college, List the departments available, course, branches available, departments, department, courses available, courses offered, , , , , , , , , ","We provide UG programs including CSE, AI&DS, ECE, EEE, IT, Civil Engineering, Mechatronics Engineering, Mechanical Engineering, Bio-Technology, and Communication & Networking, along with PG programs in Power Systems Engineering, Communication & Networking,.",,
Principal,name of the principal,principal,about principal,principal information,,,,,,,,,,,,,,"name of the principal, principal, about principal, principal information, , , , , , , , , , , , , ","Our principal DR.S.Senthil M.E, Ph.D",,
Hostel,girls hostel,boys hostel,hostel,is hostel facility available for girls?,is hostel facility available for boys,,,,,,,,,,,,,"girls hostel, boys hostel, hostel, is hostel facility available for girls?, is hostel facility available for boys, , , , , , , , , , , , ","yes, we provided well-furnished rooms, clean bathrooms, a gym, and indoor games provide a comfortable and engaging living environment for residents. <br> \n\n-Additional amenities include 24/7 Wi-Fi, a tuck shop, medical services, CCTV surveillance, and a computer room with high-speed internet, ensuring a safe and convenient stay with access to essential resources.",,
location and contact details,where does the college locate?,Address,Phone number,Contact details,how to get to college,location of the college,,,,,,,,,,,,"where does the college locate?, Address, Phone number, Contact details, how to get to college, location of the college, , , , , , , , , , , ","Visit Our College :\nS.P.G.Chidambara Nadar, C.Nagammal Campus, S.P.G.C.Nagar, K.Vellakulam - 625 701, (Near Virudhunagar)<br> Call Us :\n(+91) 4549-278791,\n\n(+91) 4549-278171,\n\n+91 9488524988,\n\n+91 9443544988.<br>  \n Email Us :\nmail@kamarajengg.edu.in ",,
Placement Contacts,TDP cell,placement contact,TDP cell contact details,placement queries,placement contact details,,,,,,,,,,,,,"TDP cell, placement contact, TDP cell contact details, placement queries, placement contact details, , , , , , , , , , , , ",-Placement Officer : 94423-25078 <br>\n-Placement Organizer : 79047-17255 <br>\n -Training Organizer : 99445-11610,,
library,What are the library hours?,How do I borrow a book?,Are there quiet study areas in the library?,,,,,,,,,,,,,,,"What are the library hours?, How do I borrow a book?, Are there quiet study areas in the library?, , , , , , , , , , , , , , ","Our library is open on all working days, timing 9.10 AM to 6.00 PM. <br>To borrow a book, please visit the library desk with your student ID.",,
sports,What sports teams do we have?,How can I join a sports team?,Are there intramural sports?,sports teams,,,,,,,,,,,,,,"What sports teams do we have?, How can I join a sports team?, Are there intramural sports?, sports teams, , , , , , , , , , , , , ","We have a variety of in-door and out-door sports teams including cricket, volleyball, Badminton, Tennis, Chess, etc.,<br> KCET is an active member of different sports associations.  <br>You can contact the respective coaches once you joined the college. <br>We also offer intramural sports for students.",,
clubs,club list,What student clubs and organizations are there?,How can I join a club?,Are there any special interest groups?,list of club,,,,,,,,,,,,,"club list, What student clubs and organizations are there?, How can I join a club?, Are there any special interest groups?, list of club, , , , , , , , , , , , ","We have a diverse range of student clubs and organizations, including NSS,NCC,YRC,Ramanujam club,Photography club, etc.,<br>",,
career_services,What career services are available?,How can I get help with my resume?,Are there job fairs on campus?,placement cell availability?,,,,,,,,,,,,,,"What career services are available?, How can I get help with my resume?, Are there job fairs on campus?, placement cell availability?, , , , , , , , , , , , , ","We offer a range of career services, including resume workshops and mock interviews. <br> Training Development and Placement Cell helps students to upskill their skills to meet the industrial expectations and thereby making them job ready once they graduate from the Institution.",,
academic_support,Is there academic tutoring available?,How can I get help with my coursework?,Are there study groups for specific subjects?,,,,,,,,,,,,,,,"Is there academic tutoring available?, How can I get help with my coursework?, Are there study groups for specific subjects?, , , , , , , , , , , , , , ","Yes, we provide academic tutoring services if needed by the students.<br> You can contact your faculties on tutoring and course related research.",,
About College,about kcet,about college,how many student studying in kcet,how many staffs/faculty working here?,placement percentage,No of Programmes available,year the college was established,total area covered by college,Total student,about,,,,,,,,"about kcet, about college, how many student studying in kcet, how many staffs/faculty working here?, placement percentage, No of Programmes available, year the college was established, total area covered by college, Total student, about, , , , , , , ",Our College was established in the year 1998.<br>Our College spans to 47.92 acres of land.<br> Total Students : 1950 <br> Total Faculty : 143 <br> Programmes : 14 <br> Placement : 91% <br>,,
Eligibility,eligibility,eligibility for cse,eligibility for AI&DS,eligibility for B.tech,eligibility criteria,eligibility for b.e,eligibility for AI&DS,eligibility for civil,eligibiligy for ece,eligibility for eee,eligibility for Mech,eligibility for mechanic,eligibility for mechatronics,eligibility for IT,,,,"eligibility, eligibility for cse, eligibility for AI&DS, eligibility for B.tech, eligibility criteria, eligibility for b.e, eligibility for AI&DS, eligibility for civil, eligibiligy for ece, eligibility for eee, eligibility for Mech, eligibility for mechanic, eligibility for mechatronics, eligibility for IT, , , ","A pass in the HSC (Academic: both +1 and +2) or its equivalent with a minimum average percentage in Mathematics, Physics and Chemistry put together as given below.<br>General Category : 45% <br> Backward Class : 40%<br> MBC and DNC : 40% <br> SC/SCA/ST : 40%",,
Facility,facilities,other facilities,what are the facilities available,facility,additional facilities,extra facilities,,,,,,,,,,,,"facilities, other facilities, what are the facilities available, facility, additional facilities, extra facilities, , , , , , , , , , , ","-A library with an extensive collection of over 68,000 books.<br>\n-A state-of-the-art computing facility with 800 computers.<br>\n-Professional counseling services for student well-being.<br>\n-A dedicated health care center.<br>\n-Convenient transportation options, including buses.<br>\nOn-campus banking and ATM services.<br>\n-Wi-Fi connectivity throughout the campus.<br>\n-Reliable Reverse Osmosis (RO) water facilities.",,
Vision,vision,vision of the college,vision of kcet,kcet vision,,,,,,,,,,,,,,"vision, vision of the college, vision of kcet, kcet vision, , , , , , , , , , , , , ",To Make this Institution the unique of its kind in the field of Research and Development activities in this part of world.,,
Mission,mission,mission of the college,mission of kcet,kcet mission,,,,,,,,,,,,,,"mission, mission of the college, mission of kcet, kcet mission, , , , , , , , , , , , , ","To impart highly innovative and technical knowledge to the urban and unreachable rural student folks through ""Total Quality Education"".",,
Quality Policy,quality policy,quality policy of the college,quality policy of kcet,kcet quality policy,,,,,,,,,,,,,,"quality policy, quality policy of the college, quality policy of kcet, kcet quality policy, , , , , , , , , , , , , ","Committed to impart Quality Technical Education imbibed with proficiency, human values and continual improvement.",,
Recruitment,What are prominent recruiters,List the companies that recruit from this college,Recruitments,recruiting companies,does tcs and zoho comes to this college,placement details,company,companies,placement,,,,,,,,,"What are prominent recruiters, List the companies that recruit from this college, Recruitments, recruiting companies, does tcs and zoho comes to this college, placement details, company, companies, placement, , , , , , , , ","A few of our Prominent Recruiters Relevantz, Zoho, Infosys, TCS, accenture, Clustrex, Xmplar, ZIFO, DATA PATTERNS, e-con Systems, aptean ...<br>\nExplore our placements records for more information on <br> <a href='http://www.kamarajengg.edu.in/placementsrecords'>Placements&Company</a>.",,
Admission form,admission form,schedule admission,B.E admission,B.Tech admission,How to apply for admission,how to apply for admission through online,apply admission online,form for admission,apply admission,can we apply for admission online?,how can we apply for admission?,application form,application,application for cse,application for EEE,application,apply through online,"admission form, schedule admission, B.E admission, B.Tech admission, How to apply for admission, how to apply for admission through online, apply admission online, form for admission, apply admission, can we apply for admission online?, how can we apply for admission?, application form, application, application for cse, application for EEE, application, apply through online",You can apply for admission through <a href='http://www.kamarajengg.edu.in/admiss_vieww'>Admission Form</a>.,,
syllabus,syllabus,syllabus for cse,syllabus for ad,syllabus for ece,syllabus for eee,B.E syllabus,B.Tech syllabus,syallabus for IT,,,,,,,,,,"syllabus, syllabus for cse, syllabus for ad, syllabus for ece, syllabus for eee, B.E syllabus, B.Tech syllabus, syallabus for IT, , , , , , , , , ",view syllabus in <a href='https://www.kamarajengg.edu.in/syllabus'>Kcet syllabus</a>.,,
Counselling code,counselling code,counselling,,,,,,,,,,,,,,,,"counselling code, counselling, , , , , , , , , , , , , , , ",4959,,
tuition,How much is tuition?,fee,Are there scholarships available?,tution fee,fee details,college fee,,,,,,,,,,,,"How much is tuition?, fee, Are there scholarships available?, tution fee, fee details, college fee, , , , , , , , , , , ",Fee varies from department to department.<br> know more by visiting the link <a href='http://www.kamarajengg.edu.in/admission#eligiblity'>Fee Detail</a>.,,
research,research centres availability,How college helps in research and development side,Facilites of research,Funded projects,can i do reasearch in kcet?,research work,reaserch?,,,,,,,,,,,"research centres availability, How college helps in research and development side, Facilites of research, Funded projects, can i do reasearch in kcet?, research work, reaserch?, , , , , , , , , , ","Kamaraj Research forum creates a conductive environment for enhanced research productivity in terms of publications, patents, products and funded projects.<br>And we encourages our students and Faculty members to participate in conferences, seminars, workshops, project competition, etc., see more at  <a href='http://www.kamarajengg.edu.in/about_reasearch'>Research</a>.",,
